,Name,A ending?,"VowelEnding? (a, e, i, o, u,y)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","Sonorant ending? (m,n,ng,l,r)","Plosive ending? (p,b,t,d,k,g)","1st letter vowel? (a, e, i, o, u)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","1st letter sonorant? (m,n,l,r,w,y)","1st letter plosive? (p,b,t,d,k,g)",# of letters,Front Vowels,Back Vowels,"Total # of vowels (a, e, i, o, u)","# of fricatives (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of plosives  (p,b,t,d,k,g)",Gender,Category
241,mtfx,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,0,FINANCIAL_SERVICES
242,nametoken,0,0,0,1,0,0,0,1,0,9,2,1,4,0,3,2,0,FINANCIAL_SERVICES
243,ofx,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,FINANCIAL_SERVICES
244,paycent,0,0,0,0,1,0,0,0,1,7,1,0,2,0,2,2,0,FINANCIAL_SERVICES
245,paysafe,0,1,0,0,0,0,0,0,1,7,1,0,3,2,1,1,1,FINANCIAL_SERVICES
246,pendo,0,1,0,0,0,0,0,0,1,5,1,1,2,0,1,2,0,FINANCIAL_SERVICES
247,proequities,0,0,1,0,0,0,0,0,1,11,3,2,6,1,1,2,0,FINANCIAL_SERVICES
248,qvolta,1,1,0,0,0,0,0,0,0,6,0,1,2,1,1,1,1,FINANCIAL_SERVICES
249,recoin,0,0,0,1,0,0,0,1,0,6,2,1,3,0,2,0,0,FINANCIAL_SERVICES
250,rollmycoin,0,0,0,1,0,0,0,1,0,10,1,2,3,0,6,0,0,FINANCIAL_SERVICES
251,skincoin,0,0,0,1,0,0,1,0,0,8,2,1,3,1,2,1,0,FINANCIAL_SERVICES
252,smartmoney,0,1,0,0,0,0,1,0,0,10,2,1,3,1,5,1,1,FINANCIAL_SERVICES
253,sprig,0,0,0,0,1,0,1,0,0,5,1,0,1,1,1,2,0,FINANCIAL_SERVICES
254,tokendesk,0,0,0,0,1,0,0,0,1,9,2,1,3,1,1,4,0,FINANCIAL_SERVICES
255,tokenstars,0,0,1,0,0,0,0,0,1,10,1,1,3,2,2,3,0,FINANCIAL_SERVICES
256,usforex,0,0,0,0,0,1,0,0,0,7,1,2,3,2,1,0,0,FINANCIAL_SERVICES
257,adrenaline,0,1,0,0,0,1,0,0,0,10,3,0,5,0,4,1,1,BBQ
258,denmark,0,0,0,0,1,0,0,0,1,7,1,0,2,0,3,2,0,BBQ
259,kalamazoo,0,1,0,0,0,0,0,0,1,9,0,1,5,1,2,1,1,BBQ
260,kingsford,0,0,0,0,1,0,0,0,1,9,1,1,2,2,2,3,0,BBQ
261,texas,0,0,1,0,0,0,0,0,1,5,1,0,2,1,0,1,0,BBQ
262,weber,0,0,0,1,0,0,0,1,0,5,2,0,2,0,2,1,0,BBQ
263,agebeautiful,0,0,0,1,0,1,0,0,0,12,3,2,7,1,1,3,0,HAIR_PRODUCTS
264,alfaparf,0,0,1,0,0,1,0,0,0,8,0,0,3,2,2,1,0,HAIR_PRODUCTS
265,aveda,1,1,0,0,0,1,0,0,0,5,1,0,3,1,0,1,1,HAIR_PRODUCTS
266,avena,1,1,0,0,0,1,0,0,0,5,1,0,3,1,1,0,1,HAIR_PRODUCTS
267,bigen,0,0,0,1,0,0,0,0,1,5,2,0,2,0,1,2,0,HAIR_PRODUCTS
268,chromasilk,0,0,0,0,1,0,1,0,0,10,1,1,3,2,3,1,0,HAIR_PRODUCTS
269,clairol,0,0,0,1,0,0,0,0,0,7,1,1,3,0,3,0,0,HAIR_PRODUCTS
270,colordesign,0,0,0,1,0,0,0,0,0,11,2,2,4,1,3,2,0,HAIR_PRODUCTS
271,colorphlex,0,0,0,0,0,0,0,0,0,10,1,2,3,0,3,1,0,HAIR_PRODUCTS
272,colorproof,0,0,1,0,0,0,0,0,0,10,0,3,4,1,3,1,0,HAIR_PRODUCTS
273,colorsmash,0,0,1,0,0,0,0,0,0,10,0,2,3,2,3,0,0,HAIR_PRODUCTS
274,colortrak,0,0,0,0,1,0,0,0,0,9,0,2,3,0,3,2,0,HAIR_PRODUCTS
275,deciem,0,0,0,1,0,0,0,0,1,6,2,0,3,0,1,1,0,HAIR_PRODUCTS
276,dphue,0,1,0,0,0,0,0,0,1,5,1,1,2,0,0,2,0,HAIR_PRODUCTS
277,esalon,0,0,0,1,0,1,0,0,0,6,1,1,3,1,2,0,0,HAIR_PRODUCTS
278,hoyu,0,1,0,0,0,0,0,0,0,4,0,2,2,0,1,0,0,HAIR_PRODUCTS
279,inoa,1,1,0,0,0,1,0,0,0,4,1,1,3,0,1,0,1,HAIR_PRODUCTS
280,jonathan,0,0,0,1,0,0,1,0,0,8,0,1,3,2,2,1,0,HAIR_PRODUCTS
281,keune,0,1,0,0,0,0,0,0,1,5,2,1,3,0,1,1,1,HAIR_PRODUCTS
282,koleston,0,0,0,1,0,0,0,0,1,8,1,2,3,1,2,2,0,HAIR_PRODUCTS
283,lakme,0,1,0,0,0,0,0,1,0,5,1,0,2,0,2,1,1,HAIR_PRODUCTS
284,lanza,1,1,0,0,0,0,0,1,0,5,0,0,2,1,2,0,1,HAIR_PRODUCTS
285,leland,0,0,0,0,1,0,0,1,0,6,1,0,2,0,3,1,0,HAIR_PRODUCTS
286,naturtint,0,0,0,0,1,0,0,1,0,9,1,1,3,0,3,3,0,HAIR_PRODUCTS
287,oway,0,1,0,0,0,1,0,0,0,4,1,1,2,0,2,0,1,HAIR_PRODUCTS
288,paintglow,0,0,0,0,0,0,0,0,1,9,1,1,3,0,3,3,1,HAIR_PRODUCTS
289,pureology,0,1,0,0,0,0,0,0,1,9,2,3,4,0,3,2,0,HAIR_PRODUCTS
290,redken,0,0,0,1,0,0,0,1,0,6,2,0,2,0,2,2,0,HAIR_PRODUCTS
291,reparex,0,0,0,0,0,0,0,1,0,7,2,0,3,0,2,1,1,HAIR_PRODUCTS
292,satin,0,0,0,1,0,0,1,0,0,5,1,0,2,1,1,1,0,HAIR_PRODUCTS
293,schwarzkopf,0,0,1,0,0,0,1,0,0,11,0,1,2,4,2,2,0,HAIR_PRODUCTS
294,scruples,0,0,1,0,0,0,1,0,0,8,1,1,2,2,2,1,0,HAIR_PRODUCTS
295,splat,0,0,0,0,1,0,1,0,0,5,0,0,1,1,1,2,0,HAIR_PRODUCTS
296,tca,1,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,HAIR_PRODUCTS
297,tigi,0,1,0,0,0,0,0,0,1,4,2,0,2,0,0,2,1,HAIR_PRODUCTS
298,tressa,1,1,0,0,0,0,0,0,1,6,1,0,2,2,1,1,1,HAIR_PRODUCTS
299,wella,1,1,0,0,0,0,0,1,0,5,1,0,2,0,3,0,1,HAIR_PRODUCTS
300,abellan,0,0,0,1,0,1,0,0,0,7,1,0,3,0,3,1,0,JEWELRY
301,adora,1,1,0,0,0,1,0,0,0,5,0,1,3,0,1,1,1,JEWELRY
302,alamea,1,1,0,0,0,1,0,0,0,6,1,0,4,0,2,0,1,JEWELRY
303,albertos,0,0,1,0,0,1,0,0,0,8,1,1,3,1,2,2,0,JEWELRY
304,alishan,0,0,0,1,0,1,0,0,0,7,1,0,3,1,2,0,0,JEWELRY
305,alor,0,0,0,1,0,1,0,0,0,4,0,1,2,0,2,0,0,JEWELRY
306,amden,0,0,0,1,0,1,0,0,0,5,1,0,2,0,2,1,0,JEWELRY
307,amgad,0,0,0,0,1,1,0,0,0,5,0,0,2,0,1,2,0,JEWELRY
308,angelica,1,1,0,0,0,1,0,0,0,8,2,0,4,0,2,1,1,JEWELRY
309,anjolee,0,1,0,0,0,1,0,0,0,7,1,1,4,1,2,0,1,JEWELRY
310,annoushka,1,1,0,0,0,1,0,0,0,9,0,1,4,1,2,1,1,JEWELRY
311,antonini,0,1,0,0,0,1,0,0,0,8,2,1,4,0,3,1,1,JEWELRY
312,armenta,1,1,0,0,0,1,0,0,0,7,1,0,3,0,3,1,1,JEWELRY
313,arpas,0,0,1,0,0,1,0,0,0,5,0,0,2,1,1,1,0,JEWELRY
314,artcarved,0,0,0,0,1,1,0,0,0,9,1,0,3,1,2,2,0,JEWELRY
315,artemest,0,0,0,0,1,1,0,0,0,8,2,0,3,1,2,2,0,JEWELRY
316,artistry,0,1,0,0,0,1,0,0,0,8,2,0,2,1,3,2,1,JEWELRY
317,asher,0,0,0,1,0,1,0,0,0,5,1,0,2,1,1,0,0,JEWELRY
318,ashk,0,0,0,0,1,1,0,0,0,4,0,0,1,1,0,1,0,JEWELRY
319,asprey,0,1,0,0,0,1,0,0,0,6,2,0,2,1,2,1,1,JEWELRY
320,assael,0,0,0,1,0,1,0,0,0,6,1,0,3,2,1,0,0,JEWELRY
321,astoria,1,1,0,0,0,1,0,0,0,7,1,1,4,1,1,1,1,JEWELRY
322,attos,0,0,1,0,0,1,0,0,0,5,0,1,2,1,0,2,0,JEWELRY
323,australian,0,0,0,1,0,1,0,0,0,10,1,1,5,1,3,1,0,JEWELRY
324,baccarat,0,0,0,0,1,0,0,0,1,8,0,0,3,0,1,2,0,JEWELRY
325,baggins,0,0,1,0,0,0,0,0,1,7,1,0,2,1,1,3,0,JEWELRY
326,balenciaga,1,1,0,0,0,0,0,0,1,10,2,0,5,0,2,2,1,JEWELRY
327,bamboo,0,1,0,0,0,0,0,0,1,6,0,1,3,0,1,2,0,JEWELRY
328,barsky,0,1,0,0,0,0,0,0,1,6,1,0,1,1,2,2,1,JEWELRY
329,bayco,0,1,0,0,0,0,0,0,1,5,0,1,2,0,1,1,0,JEWELRY
330,becoming,0,0,0,1,1,0,0,0,1,8,2,1,3,0,2,2,0,JEWELRY
331,belfiore,0,1,0,0,0,0,0,0,1,8,3,1,4,1,2,1,1,JEWELRY
332,bellarri,0,1,0,0,0,0,0,0,1,8,2,0,3,0,4,1,1,JEWELRY
333,benchmark,0,0,0,0,1,0,0,0,1,9,1,0,2,1,3,2,0,JEWELRY
334,bijan,0,0,0,1,0,0,0,0,1,5,1,0,2,1,1,1,0,JEWELRY
335,bioring,0,0,0,1,1,0,0,0,1,7,2,1,3,0,2,2,0,JEWELRY
336,blvckout,0,0,0,0,1,0,0,0,1,8,0,1,2,1,1,3,0,JEWELRY
337,boma,1,1,0,0,0,0,0,0,1,4,0,1,2,0,1,1,1,JEWELRY
338,brayce,0,1,0,0,0,0,0,0,1,6,1,0,2,0,2,1,1,JEWELRY
339,breguet,0,0,0,0,1,0,0,0,1,7,2,1,3,0,1,3,0,JEWELRY
340,brighton,0,0,0,1,0,0,0,0,1,8,1,1,2,0,2,3,0,JEWELRY
341,brosway,0,1,0,0,0,0,0,0,1,7,1,1,2,1,3,1,1,JEWELRY
342,buccellati,0,1,0,0,0,0,0,0,1,10,2,1,4,0,2,2,1,JEWELRY
343,bulgari,0,1,0,0,0,0,0,0,1,7,1,1,3,0,2,2,0,JEWELRY
344,cadar,0,0,0,1,0,0,0,0,0,5,0,0,2,0,1,1,0,JEWELRY
345,canadamark,0,0,0,0,1,0,0,0,0,10,0,0,4,0,3,2,0,JEWELRY
346,carelle,0,1,0,0,0,0,0,0,0,7,2,0,3,0,3,0,1,JEWELRY
347,carlex,0,0,0,0,0,0,0,0,0,6,1,0,2,0,2,0,1,JEWELRY
348,carolee,0,1,0,0,0,0,0,0,0,7,1,1,4,0,2,0,1,JEWELRY
349,cartier,0,0,0,1,0,0,0,0,0,7,1,0,3,0,2,1,0,JEWELRY
350,catbird,0,0,0,0,1,0,0,0,0,7,1,0,2,0,1,3,0,JEWELRY
351,celtic,0,0,0,0,0,0,0,0,0,6,2,0,2,0,1,1,0,JEWELRY
352,chamilia,1,1,0,0,0,0,1,0,0,8,2,0,4,1,2,0,1,JEWELRY
353,chanel,0,0,0,1,0,0,1,0,0,6,1,0,2,1,2,0,0,JEWELRY
354,charriol,0,0,0,1,0,0,1,0,0,8,1,1,3,1,3,0,0,JEWELRY
355,chopard,0,0,0,0,1,0,1,0,0,7,0,1,2,1,1,2,0,JEWELRY
356,christofle,0,1,0,0,0,0,1,0,0,10,2,1,3,3,2,1,1,JEWELRY
357,chrysalis,0,0,1,0,0,0,1,0,0,9,1,0,2,3,3,0,0,JEWELRY
358,circa,1,1,0,0,0,0,0,0,0,5,1,0,2,0,1,0,1,JEWELRY
359,colibri,0,1,0,0,0,0,0,0,0,7,2,1,3,0,2,1,1,JEWELRY
360,coomi,0,1,0,0,0,0,0,0,0,5,1,1,3,0,1,0,1,JEWELRY
361,corso,0,1,0,0,0,0,0,0,0,5,0,2,2,1,1,0,0,JEWELRY
362,cosa,1,1,0,0,0,0,0,0,0,4,0,1,2,1,0,0,1,JEWELRY
363,crivelli,0,1,0,0,0,0,0,0,0,8,3,0,3,1,3,0,1,JEWELRY
364,crownring,0,0,0,1,1,0,0,0,0,9,1,1,2,0,5,1,0,JEWELRY
365,cruciani,0,1,0,0,0,0,0,0,0,8,2,1,4,0,2,0,1,JEWELRY
366,dabakarov,0,0,1,0,0,0,0,0,1,9,0,1,4,1,1,3,0,JEWELRY
367,dacarli,0,1,0,0,0,0,0,0,1,7,1,0,3,0,2,1,1,JEWELRY
368,damiani,0,1,0,0,0,0,0,0,1,7,2,0,4,0,2,1,1,JEWELRY
369,danhov,0,0,1,0,0,0,0,0,1,6,0,1,2,1,1,1,0,JEWELRY
370,dannijo,0,1,0,0,0,0,0,0,1,7,1,1,3,1,2,1,1,JEWELRY
371,dazzlers,0,0,1,0,0,0,0,0,1,8,1,0,2,3,2,1,0,JEWELRY
372,devocean,0,0,0,1,0,0,0,0,1,8,2,1,4,1,1,1,0,JEWELRY
373,dior,0,0,0,1,0,0,0,0,1,4,1,1,2,0,1,1,0,JEWELRY
374,djula,1,1,0,0,0,0,0,0,1,5,0,1,2,1,1,1,1,JEWELRY
375,dnea,1,1,0,0,0,0,0,0,1,4,1,0,2,0,1,1,1,JEWELRY
376,dorfman,0,0,0,1,0,0,0,0,1,7,0,1,2,1,3,1,0,JEWELRY
377,dtc,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,JEWELRY
378,dualitas,0,0,1,0,0,0,0,0,1,8,1,1,4,1,1,2,0,JEWELRY
379,dutchcollar,0,0,0,1,0,0,0,0,1,11,0,2,3,1,3,2,0,JEWELRY
380,dway,0,1,0,0,0,0,0,0,1,4,1,0,1,0,2,1,1,JEWELRY
381,earstuds,0,0,1,0,0,1,0,0,0,8,1,1,3,2,1,2,0,JEWELRY
382,effy,0,1,0,0,0,1,0,0,0,4,2,0,1,2,1,0,1,JEWELRY
383,eliko,0,1,0,0,0,1,0,0,0,5,2,1,3,0,1,1,0,JEWELRY
384,elle,0,1,0,0,0,1,0,0,0,4,2,0,2,0,2,0,1,JEWELRY
385,enso,0,1,0,0,0,1,0,0,0,4,1,1,2,1,1,0,0,JEWELRY
386,esquire,0,1,0,0,0,1,0,0,0,7,3,1,4,1,1,0,1,JEWELRY
387,ettika,1,1,0,0,0,1,0,0,0,6,2,0,3,0,0,3,1,JEWELRY
388,everband,0,0,0,0,1,1,0,0,0,8,2,0,3,1,2,2,0,JEWELRY
389,evocateur,0,0,0,1,0,1,0,0,0,9,2,2,5,1,1,1,0,JEWELRY
390,faberge,0,1,0,0,0,0,1,0,0,7,2,0,3,1,1,2,1,JEWELRY
391,feri,0,1,0,0,0,0,1,0,0,4,2,0,2,1,1,0,1,JEWELRY
392,forevermark,0,0,0,0,1,0,1,0,0,11,2,1,4,2,4,1,0,JEWELRY
393,forziani,0,1,0,0,0,0,1,0,0,8,2,1,4,2,2,0,1,JEWELRY
394,gamiss,0,0,1,0,0,0,0,0,1,6,1,0,2,2,1,1,0,JEWELRY
395,gemfields,0,0,1,0,0,0,0,0,1,9,2,0,3,2,2,2,0,JEWELRY
396,gemiana,1,1,0,0,0,0,0,0,1,7,2,0,4,0,2,1,1,JEWELRY
397,gemio,0,1,0,0,0,0,0,0,1,5,2,1,3,0,1,1,1,JEWELRY
398,gemvision,0,0,0,1,0,0,0,0,1,9,3,1,4,2,2,1,0,JEWELRY
399,genesis,0,0,1,0,0,0,0,0,1,7,3,0,3,2,1,1,0,JEWELRY
400,gia,1,1,0,0,0,0,0,0,1,3,1,0,2,0,0,1,1,JEWELRY
401,gielo,0,1,0,0,0,0,0,0,1,5,1,1,3,0,1,1,1,JEWELRY
402,givenchy,0,1,0,0,0,0,0,0,1,8,3,0,2,2,2,1,1,JEWELRY
403,gm,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,JEWELRY
404,goldman,0,0,0,1,0,0,0,0,1,7,0,1,2,0,3,2,0,JEWELRY
405,goldstein,0,0,0,1,0,0,0,0,1,9,1,1,3,1,2,3,0,JEWELRY
406,gothrider,0,0,0,1,0,0,0,0,1,9,2,1,3,1,2,3,0,JEWELRY
407,graff,0,0,1,0,0,0,0,0,1,5,0,0,1,2,1,1,0,JEWELRY
408,gucci,0,1,0,0,0,0,0,0,1,5,1,1,2,0,0,1,0,JEWELRY
409,gurhan,0,0,0,1,0,0,0,0,1,6,0,1,2,0,2,1,0,JEWELRY
410,happylaulea,1,1,0,0,0,0,0,0,0,11,1,1,5,0,3,2,1,JEWELRY
411,henne,0,1,0,0,0,0,0,0,0,5,2,0,2,0,2,0,1,JEWELRY
412,herco,0,1,0,0,0,0,0,0,0,5,1,1,2,0,1,0,0,JEWELRY
413,hermes,0,0,1,0,0,0,0,0,0,6,2,0,2,1,2,0,0,JEWELRY
414,hidalgo,0,1,0,0,0,0,0,0,0,7,1,1,3,0,1,2,0,JEWELRY
415,hinsongayle,0,1,0,0,0,0,0,0,0,11,2,1,4,1,4,1,1,JEWELRY
416,hiraco,0,1,0,0,0,0,0,0,0,6,1,1,3,0,1,0,0,JEWELRY
417,honora,1,1,0,0,0,0,0,0,0,6,0,2,3,0,2,0,1,JEWELRY
418,hublot,0,0,0,0,1,0,0,0,0,6,0,2,2,0,1,2,0,JEWELRY
419,induo,0,1,0,0,0,1,0,0,0,5,1,2,3,0,1,1,1,JEWELRY
420,inox,0,0,0,0,0,1,0,0,0,4,1,1,2,0,1,0,0,JEWELRY
421,ippolita,1,1,0,0,0,1,0,0,0,8,2,1,4,0,1,3,1,JEWELRY
422,ironman,0,0,0,1,0,1,0,0,0,7,1,1,3,0,4,0,0,JEWELRY
423,isharya,1,1,0,0,0,1,0,0,0,7,1,0,3,1,2,0,1,JEWELRY
424,jennybird,0,0,0,0,1,0,1,0,0,9,2,0,2,1,4,2,0,JEWELRY
425,jeulia,1,1,0,0,0,0,1,0,0,6,2,1,4,1,1,0,1,JEWELRY
426,jewelex,0,0,0,0,0,0,1,0,0,7,3,0,3,1,2,0,0,JEWELRY
427,jewelmer,0,0,0,1,0,0,1,0,0,8,3,0,3,1,4,0,1,JEWELRY
428,joden,0,0,0,1,0,0,1,0,0,5,1,1,2,1,1,1,0,JEWELRY
429,jostens,0,0,1,0,0,0,1,0,0,7,1,1,2,3,1,1,0,JEWELRY
430,kameleon,0,0,0,1,0,0,0,0,1,8,2,1,4,0,3,1,0,JEWELRY
431,kgk,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,3,0,JEWELRY
432,khailo,0,1,0,0,0,0,0,0,1,6,1,1,3,0,1,1,1,JEWELRY
433,khom,0,0,0,1,0,0,0,0,1,4,0,1,1,0,1,1,0,JEWELRY
434,kiran,0,0,0,1,0,0,0,0,1,5,1,0,2,0,2,1,0,JEWELRY
435,kkgi,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,3,0,JEWELRY
436,kobelli,0,1,0,0,0,0,0,0,1,7,2,1,3,0,2,2,1,JEWELRY
437,kozi,0,1,0,0,0,0,0,0,1,4,1,1,2,1,0,1,0,JEWELRY
438,krikawa,1,1,0,0,0,0,0,0,1,7,1,0,3,0,2,2,1,JEWELRY
439,kristall,0,0,0,1,0,0,0,0,1,8,1,0,2,1,3,2,0,JEWELRY
440,kwiat,0,0,0,0,1,0,0,0,1,5,1,0,2,0,1,2,0,JEWELRY
441,lagos,0,0,1,0,0,0,0,1,0,5,0,1,2,1,1,1,0,JEWELRY
442,lalique,0,1,0,0,0,0,0,1,0,7,2,1,4,0,2,0,1,JEWELRY
443,lana,1,1,0,0,0,0,0,1,0,4,0,0,2,0,2,0,1,JEWELRY
444,lashbrook,0,0,0,0,1,0,0,1,0,9,0,1,3,1,2,2,0,JEWELRY
445,lavaggi,0,1,0,0,0,0,0,1,0,7,1,0,3,1,1,2,1,JEWELRY
446,leslie,0,1,0,0,0,0,0,1,0,6,2,0,3,1,2,0,1,JEWELRY
447,lili,0,1,0,0,0,0,0,1,0,4,2,0,2,0,2,0,1,JEWELRY
448,livingstone,0,1,0,0,0,0,0,1,0,11,3,1,4,2,3,2,1,JEWELRY
449,lokai,0,1,0,0,0,0,0,1,0,5,1,1,3,0,1,1,1,JEWELRY
450,lotus,0,0,1,0,0,0,0,1,0,5,0,2,2,1,1,1,0,JEWELRY
451,lunkae,0,1,0,0,0,0,0,1,0,6,1,1,3,0,2,1,1,JEWELRY
452,luvente,0,1,0,0,0,0,0,1,0,7,2,1,3,1,2,1,1,JEWELRY
453,madani,0,1,0,0,0,0,0,1,0,6,1,0,3,0,2,1,1,JEWELRY
454,majorica,1,1,0,0,0,0,0,1,0,8,1,1,4,1,2,0,1,JEWELRY
455,mantraband,0,0,0,0,1,0,0,1,0,10,0,0,3,0,4,3,0,JEWELRY
456,marika,1,1,0,0,0,0,0,1,0,6,1,0,3,0,2,1,1,JEWELRY
457,marli,0,1,0,0,0,0,0,1,0,5,1,0,2,0,3,0,1,JEWELRY
458,mastoloni,0,1,0,0,0,0,0,1,0,9,1,2,4,1,3,1,0,JEWELRY
459,mattioli,0,1,0,0,0,0,0,1,0,8,2,1,4,0,2,2,1,JEWELRY
460,messika,1,1,0,0,0,0,0,1,0,7,2,0,3,2,1,1,1,JEWELRY
461,metalicious,0,0,1,0,0,0,0,1,0,11,3,1,6,1,2,1,0,JEWELRY
462,miansai,0,1,0,0,0,0,0,1,0,7,2,0,4,1,2,0,1,JEWELRY
463,michele,0,1,0,0,0,0,0,1,0,7,3,0,3,1,2,0,1,JEWELRY
464,michou,0,1,0,0,0,0,0,1,0,6,1,1,3,1,1,0,1,JEWELRY
465,midas,0,0,1,0,0,0,0,1,0,5,1,0,2,1,1,1,0,JEWELRY
466,mikimoto,0,1,0,0,0,0,0,1,0,8,2,2,4,0,2,2,0,JEWELRY
467,milano,0,1,0,0,0,0,0,1,0,6,1,1,3,0,3,0,1,JEWELRY
468,mioro,0,1,0,0,0,0,0,1,0,5,1,2,3,0,2,0,0,JEWELRY
469,misahara,1,1,0,0,0,0,0,1,0,8,1,0,4,1,2,0,1,JEWELRY
470,mister,0,0,0,1,0,0,0,1,0,6,2,0,2,1,2,1,0,JEWELRY
471,mokumeganeya,1,1,0,0,0,0,0,1,0,12,2,2,6,0,4,2,1,JEWELRY
472,movado,0,1,0,0,0,0,0,1,0,6,0,2,3,1,1,1,1,JEWELRY
473,murat,0,0,0,0,1,0,0,1,0,5,0,1,2,0,2,1,0,JEWELRY
474,muzo,0,1,0,0,0,0,0,1,0,4,0,2,2,1,1,0,1,JEWELRY
475,naledi,0,1,0,0,0,0,0,1,0,6,2,0,3,0,2,1,1,JEWELRY
476,nambe,0,1,0,0,0,0,0,1,0,5,1,0,2,0,2,1,1,JEWELRY
477,nelson,0,0,0,1,0,0,0,1,0,6,1,1,2,1,3,0,0,JEWELRY
478,nialaya,1,1,0,0,0,0,0,1,0,7,1,0,4,0,3,0,1,JEWELRY
479,ninacci,0,1,0,0,0,0,0,1,0,7,2,0,3,0,2,0,1,JEWELRY
480,nuvoboho,0,1,0,0,0,0,0,1,0,8,0,4,4,1,1,1,0,JEWELRY
481,omega,1,1,0,0,0,1,0,0,0,5,1,1,3,0,1,1,1,JEWELRY
482,onecklace,0,1,0,0,0,1,0,0,0,9,2,1,4,0,2,1,1,JEWELRY
483,oressence,0,1,0,0,0,1,0,0,0,9,3,1,4,2,2,0,1,JEWELRY
484,ovadia,1,1,0,0,0,1,0,0,0,6,1,1,4,1,0,1,1,JEWELRY
485,pampillonia,1,1,0,0,0,0,0,0,1,11,2,1,5,0,4,2,1,JEWELRY
486,pandora,1,1,0,0,0,0,0,0,1,7,0,1,3,0,2,2,1,JEWELRY
487,paragon,0,0,0,1,0,0,0,0,1,7,0,1,3,0,2,2,0,JEWELRY
488,persona,1,1,0,0,0,0,0,0,1,7,1,1,3,1,2,1,1,JEWELRY
489,piaget,0,0,0,0,1,0,0,0,1,6,2,0,3,0,0,3,0,JEWELRY
490,picchiotti,0,1,0,0,0,0,0,0,1,10,3,1,4,1,0,3,0,JEWELRY
491,platini,0,1,0,0,0,0,0,0,1,7,2,0,3,0,2,2,1,JEWELRY
492,platinum,0,0,0,1,0,0,0,0,1,8,1,1,3,0,3,2,0,JEWELRY
493,pomellato,0,1,0,0,0,0,0,0,1,9,1,2,4,0,3,2,0,JEWELRY
494,preciosa,1,1,0,0,0,0,0,0,1,8,2,1,4,1,1,1,1,JEWELRY
495,pyrrha,1,1,0,0,0,0,0,0,1,6,0,0,1,0,3,1,1,JEWELRY
496,qalo,0,1,0,0,0,0,0,0,0,4,0,1,2,0,1,0,1,JEWELRY
497,rahaminov,0,0,1,0,0,0,0,1,0,9,1,1,4,1,3,0,0,JEWELRY
498,rajola,1,1,0,0,0,0,0,1,0,6,0,1,3,1,2,0,1,JEWELRY
499,rdi,0,1,0,0,0,0,0,1,0,3,1,0,1,0,1,1,1,JEWELRY
500,rebecca,1,1,0,0,0,0,0,1,0,7,2,0,3,0,1,1,1,JEWELRY
501,relica,1,1,0,0,0,0,0,1,0,6,2,0,3,0,2,0,1,JEWELRY
